Date,O3,CO,SO2,NO2,O3 AQI,CO AQI,SO2 AQI,NO2 AQI,PM2.5,PM10,AWND,PRCP,TAVG,year,month,season
2015-10-16,0.025784333333333336,0.19444466666666668,0.18046199999999998,9.820026,27.0,3.0,0.3333333333333333,15.666666666666666,11.233333333333333,38.0,6.264,0.10224489795918366,18.84057971014493,2015,10,Fall
2015-10-17,0.034215666666666665,0.227778,0.226669,6.7536233333333335,37.0,3.3333333333333335,0.3333333333333333,16.666666666666668,10.559999999999999,22.0,5.412999999999999,0.0006122448979591836,19.80676328502416,2015,10,Fall
2015-10-18,0.03168633333333334,0.19583333333333333,0.148699,5.863767999999999,35.333333333333336,3.0,0.3333333333333333,14.666666666666666,7.8875,15.0,7.001,0.0032653061224489797,17.94685990338164,2015,10,Fall
2015-10-19,0.021784333333333333,0.26805566666666664,0.20324466666666666,13.295652333333331,34.0,4.333333333333333,0.3333333333333333,26.0,8.809999999999999,9.0,6.709999999999999,0.009000000000000001,15.893719806763285,2015,10,Fall
2015-10-20,0.023176333333333337,0.38888866666666666,0.540855,21.448485,38.0,6.666666666666667,2.3333333333333335,38.0,9.09,23.0,6.018,0.009615384615384616,17.48792270531401,2015,10,Fall
2015-10-21,0.023529333333333333,0.43055533333333335,0.6290733333333333,24.00454533333333,40.0,7.666666666666667,3.3333333333333335,40.0,8.68421052631579,32.0,5.391,0.000196078431372549,18.88888888888889,2015,10,Fall
2015-10-22,0.025941000000000002,0.411111,0.29716166666666666,17.739130333333332,35.666666666666664,7.666666666666667,0.6666666666666666,34.333333333333336,11.309999999999999,38.0,5.0329999999999995,0.0,18.188405797101453,2015,10,Fall
2015-10-23,0.024705666666666667,0.4097223333333333,0.273913,21.310145000000002,42.0,7.0,1.0,37.666666666666664,14.877777777777778,28.0,4.453,0.0,19.251207729468604,2015,10,Fall
2015-10-24,0.029842999999999998,0.525,0.3660466666666667,23.031884,47.666666666666664,10.0,0.6666666666666666,42.0,8.8,43.0,4.475,0.0,21.35265700483092,2015,10,Fall
2015-10-25,0.021862666666666666,0.5986113333333333,0.427657,25.67246366666667,38.666666666666664,10.666666666666666,1.6666666666666667,39.666666666666664,11.629999999999999,23.0,2.773,0.0,20.45893719806763,2015,10,Fall
2015-10-26,0.03478166666666666,0.6625,0.7530523333333333,29.842028999999997,72.33333333333333,11.666666666666666,3.0,47.333333333333336,13.36,28.0,3.9589999999999996,0.0,20.748792270531396,2015,10,Fall
2015-10-27,0.025646666666666665,0.6666666666666666,1.0174243333333333,34.72272733333333,36.0,12.333333333333334,4.0,57.666666666666664,15.066666666666666,29.0,3.5780000000000003,0.0,20.24154589371981,2015,10,Fall
2015-10-28,0.026058999999999968,0.5025000000000001,0.621107,26.046055,33.333333333333336,9.666666666666666,2.0,44.666666666666664,15.555555555555555,27.0,7.806,0.00020408163265306123,19.444444444444443,2015,10,Fall
2015-10-30,0.014306333333333332,0.33492066666666664,0.6266413333333333,28.721313,30.333333333333332,8.333333333333334,1.6666666666666667,47.333333333333336,7.05,27.0,7.1129999999999995,0.0,19.00966183574879,2015,10,Fall
2015-10-31,0.023607666666666666,0.725,0.823924,28.057971,40.0,14.0,3.6666666666666665,41.0,11.088888888888889,20.0,4.093,0.0,21.690821256038646,2015,10,Fall
2015-11-01,0.031745,0.6583333333333333,0.715909,22.697760333333335,59.0,12.666666666666666,5.666666666666667,37.0,13.955555555555556,10.0,6.176,0.0,21.183574879227056,2015,11,Fall
2015-11-02,0.030686333333333333,0.3194443333333334,0.24372666666666673,9.857894666666667,34.0,6.333333333333333,1.3333333333333333,25.666666666666668,7.905555555555556,21.0,9.551,0.023469387755102045,14.396135265700483,2015,11,Fall
2015-11-03,0.02327433333333333,0.22500033333333333,0.43143933333333334,13.642424333333333,34.333333333333336,4.0,2.3333333333333335,24.333333333333332,5.300000000000001,2.0,7.248,0.06055555555555556,9.97584541062802,2015,11,Fall
2015-11-04,0.023411666666666667,0.34027766666666664,0.3750793333333333,18.415242333333335,32.333333333333336,6.0,0.6666666666666666,32.0,7.222222222222222,6.0,7.851999999999999,0.05075471698113208,9.444444444444445,2015,11,Fall
2015-11-05,0.02423533333333333,0.34583366666666665,0.48680266666666666,19.992753333333336,35.333333333333336,6.0,1.3333333333333333,33.666666666666664,6.260000000000001,14.0,4.474,0.0,10.917874396135264,2015,11,Fall
2015-11-06,0.016980666666666668,0.5138889999999999,0.6743800000000001,28.395652000000002,33.333333333333336,9.666666666666666,4.666666666666667,44.666666666666664,9.544444444444444,12.0,6.42,0.0,13.454106280193237,2015,11,Fall
2015-11-07,0.022961,0.6958333333333333,0.7051440000000001,25.797101333333334,39.666666666666664,14.0,1.6666666666666667,44.333333333333336,8.39,11.0,6.107,0.0,14.855072463768117,2015,11,Fall
2015-11-08,0.024784333333333335,0.5902776666666667,0.5911783333333333,21.363768000000004,43.666666666666664,12.0,2.6666666666666665,34.333333333333336,9.657894736842104,12.0,4.095000000000001,0.0,14.347826086956523,2015,11,Fall
2015-11-09,0.032941,0.48611133333333334,0.4185113333333333,17.330434999999998,36.666666666666664,9.666666666666666,0.6666666666666666,33.0,9.26,13.0,8.365,0.0006122448979591838,11.159420289855072,2015,11,Fall
2015-11-10,0.027078666666666668,0.29583299999999996,0.5920456666666667,13.869697,37.333333333333336,5.0,4.333333333333333,30.333333333333332,6.01,12.0,9.574000000000002,0.001764705882352941,9.033816425120772,2015,11,Fall
2015-11-11,0.019784333333333334,0.4944443333333333,0.5647006666666666,28.691304333333335,35.0,8.666666666666666,2.0,45.666666666666664,7.0375,13.0,5.167,0.0,11.376811594202898,2015,11,Fall
2015-11-12,0.016524666666666667,0.6361113333333334,0.7190016666666667,35.02791766666667,33.333333333333336,9.666666666666666,1.3333333333333333,52.333333333333336,7.890909090909091,24.0,5.681,0.0,13.574879227053138,2015,11,Fall
2015-11-13,0.014470666666666666,0.8388886666666666,1.0997473333333334,39.005797333333334,27.0,13.333333333333334,3.6666666666666665,53.0,10.354545454545455,24.0,5.054,0.0,15.555555555555555,2015,11,Fall
2015-11-14,0.020156999999999998,0.9124996666666666,0.6659860000000001,32.800000000000004,36.333333333333336,17.333333333333332,1.3333333333333333,46.333333333333336,12.40952380952381,23.0,3.243,0.0,14.951690821256038,2015,11,Fall
2015-11-15,0.03754933333333333,0.676389,0.5883233333333333,18.469565333333332,39.0,14.333333333333334,2.0,40.333333333333336,11.10909090909091,14.0,10.357,0.0066,10.217391304347826,2015,11,Fall
2015-11-17,0.011636333333333332,0.5348856666666667,0.7104546666666667,32.607576,22.666666666666668,11.333333333333334,2.3333333333333335,46.333333333333336,7.84375,16.0,5.4799999999999995,0.0,11.908212560386472,2015,11,Fall
2015-11-21,0.019980333333333333,0.875,0.6450923333333334,31.515942,33.666666666666664,19.333333333333332,1.3333333333333333,58.0,8.633333333333333,14.0,6.867,0.0,18.381642512077292,2015,11,Fall
2015-11-22,0.021705666666666668,0.4666666666666666,0.5775583333333333,24.239130333333335,36.666666666666664,8.333333333333334,2.3333333333333335,42.0,7.21111111111111,16.0,5.795,0.0,17.657004830917874,2015,11,Fall
2015-11-23,0.013176666666666633,0.652778,0.9294466666666668,34.03913033333333,25.0,11.0,5.333333333333333,48.333333333333336,8.54,19.0,4.785,0.001836734693877551,16.304347826086957,2015,11,Fall
2015-11-24,0.030960666666666668,0.6305556666666666,0.512879,21.921212333333333,35.0,12.666666666666666,1.3333333333333333,41.333333333333336,10.38888888888889,17.0,7.649000000000001,0.007959183673469388,12.43961352657005,2015,11,Fall
2015-11-25,0.02374533333333333,0.1972223333333333,0.25737233333333337,12.779973666666669,35.0,3.3333333333333335,0.0,32.0,5.822222222222223,3.0,9.821,0.0252,7.954545454545455,2015,11,Fall
2015-11-26,0.019549,0.41527766666666666,0.3488636666666666,18.999999999999996,30.666666666666668,7.666666666666667,0.6666666666666666,32.333333333333336,9.305,5.0,4.899,0.000425531914893617,6.691919191919193,2015,11,Fall
2015-11-27,0.020019666666666668,0.38888866666666666,0.350126,16.276284333333333,32.333333333333336,8.333333333333334,1.3333333333333333,35.0,8.290000000000001,8.0,5.502,0.007058823529411766,7.196969696969696,2015,11,Fall
2015-11-28,0.01762733333333333,0.46666666666666673,0.3695709999999999,21.709683666666667,31.0,8.0,0.3333333333333333,36.0,8.48,12.0,5.235,0.0016326530612244899,7.045454545454544,2015,11,Fall
2015-11-29,0.024000000000000004,0.4124999999999999,0.4146466666666666,18.094598333333334,35.666666666666664,7.666666666666667,0.6666666666666666,34.333333333333336,7.34375,19.0,5.189,0.0,8.106060606060607,2015,11,Fall
2015-11-30,0.016255000000000002,0.5041666666666667,0.5720956666666667,28.181488666666667,29.333333333333332,8.666666666666666,1.0,43.666666666666664,9.1,30.0,4.045999999999999,0.0,8.695652173913041,2015,11,Fall
2015-12-02,0.015489999999999999,0.6430556666666667,1.0575756666666667,33.61739133333334,25.666666666666668,11.666666666666666,3.6666666666666665,45.666666666666664,8.095,33.0,4.765,0.0,13.647342995169083,2015,12,Winter
2015-12-03,0.011509666666666668,0.6458336666666668,1.0988636666666667,33.08544166666667,19.0,11.0,3.3333333333333335,47.0,9.566666666666666,35.0,3.915,0.0,14.154589371980677,2015,12,Winter
2015-12-04,0.009608,0.723611,0.726894,33.295059333333334,15.0,13.333333333333334,1.6666666666666667,41.333333333333336,13.033333333333333,20.0,5.995,0.0006,10.628019323671497,2015,12,Winter
2015-12-05,0.019666333333333334,0.5513886666666666,0.48798333333333327,25.272464,29.0,10.333333333333334,0.3333333333333333,36.333333333333336,10.28,25.0,5.3469999999999995,0.0,12.753623188405799,2015,12,Winter
2015-12-06,0.017450999999999998,0.4986113333333333,0.6241326666666667,25.726547999999998,32.0,9.0,0.6666666666666666,42.666666666666664,9.2,26.0,3.7359999999999998,0.0,15.33816425120773,2015,12,Winter
2015-12-07,0.011157,0.7999996666666666,1.086424,35.76811566666667,19.666666666666668,14.0,3.3333333333333335,50.0,11.644444444444444,37.0,4.541,0.0,16.304347826086957,2015,12,Winter
2015-12-10,0.025706000000000003,0.707971,0.6264683333333333,24.115666,32.0,13.666666666666666,1.0,44.333333333333336,19.266666666666666,21.0,7.606,0.012653061224489795,13.647342995169083,2015,12,Winter
2015-12-11,0.03551,0.197222,0.4681213333333334,9.010145,35.666666666666664,3.3333333333333335,1.0,21.666666666666668,5.185714285714285,21.0,12.437999999999999,0.04796296296296296,8.429951690821254,2015,12,Winter
2015-12-12,0.023587999999999998,0.2777776666666667,0.323606,11.971014666666667,32.0,4.333333333333333,1.0,24.0,6.720000000000001,10.0,10.112,0.007346938775510204,8.260869565217392,2015,12,Winter
2015-12-13,0.03366633333333333,0.46666633333333335,0.4149536666666667,15.370026333333334,34.333333333333336,9.333333333333334,0.6666666666666666,31.333333333333332,9.211111111111112,15.0,9.529,0.06583333333333334,9.734299516908212,2015,12,Winter
2015-12-15,0.013078333333333332,0.42638899999999996,0.5555556666666667,26.228787666666666,25.0,10.0,0.6666666666666666,41.333333333333336,8.2,10.0,5.949,0.000625,5.265700483091788,2015,12,Winter
2015-12-16,0.012529666666666666,0.670833,0.782345,30.189394000000004,23.333333333333332,11.666666666666666,1.3333333333333333,41.333333333333336,11.325,17.0,4.137,0.0,6.473429951690821,2015,12,Winter
2015-12-17,0.012078666666666666,0.7555553333333332,0.9370826666666666,32.720289666666666,21.333333333333332,13.0,1.6666666666666667,42.666666666666664,13.393333333333334,20.0,3.245,0.0,8.840579710144928,2015,12,Winter
2015-12-18,0.012764666666666665,0.713889,0.8013506666666667,30.457971,21.666666666666668,13.666666666666666,1.6666666666666667,43.666666666666664,13.266666666666667,22.0,3.849,0.0,10.772946859903382,2015,12,Winter
2015-12-19,0.022627666666666667,0.8361109999999999,0.9148496666666667,23.544927666666666,28.666666666666668,17.333333333333332,7.0,39.333333333333336,15.166666666666666,16.0,5.527,0.08063829787234042,9.057971014492752,2015,12,Winter
2015-12-20,0.017059,0.336111,0.5278269999999999,16.37681166666667,29.666666666666668,6.666666666666667,1.3333333333333333,30.666666666666668,11.131578947368421,2.0,6.286,0.19740740740740742,6.884057971014492,2015,12,Winter
2015-12-21,0.013274333333333332,0.6361113333333334,0.6825756666666667,24.887351666666664,20.333333333333332,11.333333333333334,2.0,33.666666666666664,16.233333333333334,5.0,6.4879999999999995,0.016666666666666666,9.009661835748794,2015,12,Winter
2015-12-22,0.007784666666666666,0.3277776666666667,0.4993623333333333,19.022727333333332,13.0,6.666666666666667,1.0,26.666666666666668,9.6,12.0,11.655000000000001,0.22727272727272727,11.521739130434783,2015,12,Winter
2015-12-23,0.02182366666666667,0.476389,0.47965366666666664,19.170421666666666,24.333333333333332,9.333333333333334,1.3333333333333333,27.666666666666668,8.879999999999999,11.0,11.006,0.03365384615384615,9.444444444444445,2015,12,Winter
2015-12-24,0.027372666666666667,0.3472223333333333,0.5142216666666667,15.268116,30.666666666666668,6.333333333333333,1.0,28.0,9.988888888888889,7.0,8.97,0.0022916666666666667,7.705314009661837,2015,12,Winter
